Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered
Michigan,US,46.6720582,-88.36363591,1,0,0
Kansas,US,37.2288586,-98.68460053,1,0,0
Alabama,US,31.868263,-85.3871286,74,1,0
West Virginia,US,39.1307219,-80.00350858,7,1,0
North Dakota,US,46.93579637,-98.06605978,4,0,0
Massachusetts,US,41.72980578,-70.28854339,1119,82,0
South Carolina,US,33.26679302,-81.43584352,36,0,0
Kentucky,US,36.96469836,-85.93338945,34,0,0
Wisconsin,US,45.42372701,-91.84833627,11,0,0
Georgia,US,33.99148694,-83.71436292,255,7,0
Michigan,US,42.59513984,-85.30834519,58,1,0
Missouri,US,36.70978521,-93.82919888,6,0,0
Indiana,US,39.20744865,-85.89558181,383,29,0
Kansas,US,38.47889676,-98.75636726,28,1,0
Georgia,US,34.23732119,-84.83887523,382,35,0
Texas,US,30.10370699,-97.31206354,125,2,0
Missouri,US,38.25271289,-94.34113157,6,1,0
Kentucky,US,38.14735938,-83.74588932,7,1,0
Virginia,US,38.05852573,-79.73912095,0,0,0
Arkansas,US,36.28784385,-92.33782872,6,0,0
Florida,US,30.26548745,-85.62122584,78,3,0
Michigan,US,43.70639106,-83.98731479,226,12,0
Wisconsin,US,46.52868768,-91.19716729,3,1,0
South Dakota,US,44.41464384,-98.27858469,22,2,0
Utah,US,41.52106798,-113.0832816,83,1,0
North Carolina,US,35.48531943,-76.84325809,27,0,0
South Carolina,US,32.39226291,-80.72619758,284,12,0
Louisiana,US,30.64836518,-93.34173616,49,4,0
Oklahoma,US,36.7496847,-100.4758872,20,0,0
Pennsylvania,US,40.6825484,-80.34921611,512,82,0
Montana,US,45.13434354,-112.8984694,1,0,0
Minnesota,US,46.93479392,-95.67158144,30,0,0
Oklahoma,US,35.26862449,-99.68128023,6,0,0
Pennsylvania,US,40.00522157,-78.48998442,30,1,0
Tennessee,US,35.51123746,-86.45549096,248,4,0
Virginia,US,37.3080028,-79.5281964,40,1,0
Texas,US,28.41761668,-97.74215593,6,0,0
New Hampshire,US,43.51637314,-71.41684235,49,0,0
Texas,US,31.03736027,-97.4785025,237,3,0
Ohio,US,40.01625942,-80.9924051,296,8,0
Minnesota,US,47.97373527,-94.93732139,8,0,0
Georgia,US,31.76095874,-83.22145359,44,1,0
Vermont,US,43.03519828,-73.09048868,60,1,0
North Dakota,US,48.0683985,-99.35916363,1,0,0
Colorado,US,37.95474293,-103.0720195,1,0,0
Arkansas,US,36.33644656,-94.25680817,136,0,0
Indiana,US,40.60626947,-87.31093999,17,0,0
Iowa,US,42.08011739,-92.06463573,36,1,0
Minnesota,US,45.69804958,-93.99514135,109,2,0
Mississippi,US,34.81681228,-89.18945516,14,0,0
Missouri,US,38.29503305,-93.28756116,9,0,0
Oregon,US,44.49167306,-123.4316987,50,5,0
Tennessee,US,36.07110411,-88.06849355,6,1,0
Washington,US,46.23946995,-119.5120834,605,55,0
Michigan,US,44.63899297,-86.01608482,4,0,0
New Jersey,US,40.96010917,-74.07164325,17080,1423,0
South Carolina,US,33.20222596,-79.94654523,199,15,0
West Virginia,US,39.46704621,-78.02414609,200,6,0
Pennsylvania,US,40.41570541,-75.92457766,3530,196,0
Massachusetts,US,42.37428441,-73.20524838,488,37,0
New Mexico,US,35.05163625,-106.6703554,1149,54,0
Georgia,US,31.27590016,-83.2252992,20,0,0
Michigan,US,41.95447397,-86.4131308,470,27,0
North Carolina,US,36.0688473,-76.96545943,74,3,0
Alaska,US,60.90980451,-159.8561831,1,0,0
Texas,US,29.44928723,-98.52019748,1976,58,0
Alabama,US,32.99642064,-87.1251146,46,1,0
Georgia,US,32.80904227,-83.70489165,384,16,0
Louisiana,US,32.34569994,-93.05398492,81,20,0
Montana,US,45.42335905,-107.492347,4,0,0
Wyoming,US,44.52405055,-107.9960365,3,0,0
Minnesota,US,45.42712824,-96.41403739,2,0,0
Idaho,US,43.2167288,-112.3978437,6,0,0
Iowa,US,42.4704581,-92.30524729,1533,29,0
Indiana,US,40.47388153,-85.32499702,14,1,0
North Carolina,US,34.61296243,-78.56180059,66,2,0
Idaho,US,43.4085812,-113.9752658,507,5,0
Oklahoma,US,35.87518314,-98.43307003,1,0,0
Pennsylvania,US,40.47961444,-78.34917412,32,0,0
Texas,US,30.26640707,-98.3999852,6,0,0
Virginia,US,37.13128068,-81.13599391,0,0,0
Georgia,US,32.43829035,-83.33035166,32,0,0
Tennessee,US,35.59942968,-85.20611967,603,1,0
